PUBCHEM_CID	DISTINCT_EXP_COUNT	EIDS
531933	1	3897
531951	1	854
531989	1	3897
532201	1	3897
535812	1	3452
535933	1	854
539510	1	3897
540218	1	4188
540335	1	2467
541260	1	2490
541532	1	3897
541823	1	3897
542139	1	3739
544900	1	3897
544979	1	3897
546665	1	3897
547914	1	3731
548037	1	705
551498	1	3897
555391	1	3897
555843	1	3897
556017	1	3897
556056	1	3897
556143	1	3897
558420	1	7672
558673	1	3731
559377	1	3897
560326	1	2467
561509	1	7738
562133	1	854
563135	1	3897
563446	1	3897
563449	1	3897
563461	1	7744
563542	1	3896
563543	1	3704
563832	1	3897
563874	1	3734
563972	1	3428
564006	1	3393
564212	1	3897
564213	1	3704
564890	1	3897
565184	1	3897
565232	1	3897
565816	1	3897
565940	1	3897
566340	1	3897
566936	1	3897
566975	1	3731
567237	1	3897
567816	1	3897
569077	1	3897
569361	1	4188
569534	1	3897
569547	1	3897
570285	1	3897
570576	1	4188
570654	1	3452
570679	1	3897
570768	1	3897
571203	1	3897
571521	1	3704
572006	1	7634
572187	1	7634
573210	1	3897
573249	1	3897
573250	1	3897
573278	1	2490
573324	1	7738
573330	1	3897
573345	1	3897
573373	1	3897
573445	1	3897
573743	1	3897,3897
573745	1	3897
573756	1	3897
573775	1	3897
573780	1	3897
574268	1	3897
574330	1	3731
574602	1	705
575169	1	3897
575337	1	3896
575642	1	2467
576560	1	3452
576784	1	3731
576984	1	967
576988	1	7741
577305	1	3452
577561	1	3897
577823	1	3897
577835	1	854
578057	1	3897
578286	1	3897
578621	1	3897
579213	1	3897
579215	1	3897
579221	1	3897
579553	1	7634
579820	1	4166
579848	1	3897
580038	1	705
580106	1	3897
580285	1	3734
580289	1	3897
580499	1	3897
580500	1	3897
580598	1	7634
580604	1	2467
580762	1	3897
581709	1	2957
582515	1	7751
582530	1	3897
582695	1	3393
583289	1	3731
583933	1	705
583938	1	3408
583995	1	3897
584201	1	3897
584317	1	3452
584682	1	3897
584690	1	3897
584778	1	3896
584914	1	3897
585128	1	3897
585545	1	4188
586711	1	3731
586851	1	3897
587129	1	854
587169	1	3897
587295	1	705
587311	1	854
587342	1	3897
587824	1	705
588101	1	705
588524	1	3897
